,datetime,sensor_val,Air_Temp,Solar_radiation,humidity,Precipitation Intensity mm/h,Total Precipitation Millimeters,TAN,Nitrite,Nitrate,Water_temp,pH,takeout_kg,biomass_kg,ideal_biomass_kg,biomass_kg_1day,biomass_kg_3day
0,2022-09-29 10:02:51,10179,22.2,1,89,0.2,0.8,0.0,0.157,15.3,29.1,7.99,0.0,22.11,22.11,22.11,0.0
1,2022-09-29 10:17:54,13425,22.1,0,90,0.13,0.93,0.0,0.157,15.3,29.1,7.99,0.0,22.19,22.19,0.0,0.0
2,2022-09-29 10:32:57,13871,21.9,1,90,0.2,1.0,0.0,0.157,15.3,29.1,7.99,0.0,22.22,22.22,0.0,0.0
3,2022-09-29 10:48:00,10551,21.8,5,90,0.2,1.0,0.0,0.157,15.3,29.1,7.99,0.0,22.3,22.3,0.0,0.0
4,2022-09-29 11:03:03,8700,21.7,16,90,0.2,1.0,0.0,0.157,15.3,29.1,7.99,0.0,22.38,22.38,0.0,0.0
5,2022-09-29 11:18:06,10945,21.6,29,90,0.07,1.0,0.0,0.157,15.3,29.1,7.99,0.0,22.45,22.45,0.0,0.0
6,2022-09-29 11:33:09,6714,21.6,40,91,0.0,1.0,0.0,0.157,15.3,29.1,7.99,0.0,22.54,22.53,0.0,0.0
7,2022-09-29 11:48:12,11080,21.4,25,91,0.2,1.2,0.0,0.157,15.3,29.1,7.99,0.0,22.62,22.62,0.0,0.0
8,2022-09-29 12:03:15,9403,21.3,28,90,0.4,1.4,0.0,0.157,15.3,29.1,7.99,0.0,22.7,22.7,0.0,0.0
9,2022-09-29 12:18:18,5853,21.2,30,90,0.4,1.4,0.0,0.157,15.3,29.1,7.99,0.0,22.78,22.78,0.0,0.0
10,2022-09-29 12:33:21,11713,21.2,29,88,0.4,1.4,0.0,0.157,15.3,29.1,7.99,0.0,22.86,22.86,0.0,0.0
11,2022-09-29 12:48:24,12070,21.4,42,88,0.2,1.4,0.0,0.157,15.3,29.1,7.99,0.0,22.94,22.94,0.0,0.0
12,2022-09-29 13:03:27,12062,21.4,87,87,0.0,1.4,0.0,0.157,15.3,29.1,7.99,0.0,23.02,23.02,0.0,0.0
13,2022-09-29 13:18:30,13912,21.6,145,87,0.0,1.4,0.0,0.157,15.3,29.1,7.99,0.0,23.11,23.11,0.0,0.0
14,2022-09-29 13:33:33,12181,21.9,180,87,0.0,1.4,0.0,0.157,15.3,29.1,7.99,0.0,23.21,23.21,0.0,0.0
